
Peugeot 5008	18-10-2022	833,3	51,47	838,9
Peugeot 5008	30-10-2022	779,71		823,8
Peugeot 5008	17-11-2022	677,43		747,9
Peugeot 5008	29-11-2022	544,69		
Peugeot 5008	13-12-2022	555,34	43,42	
Peugeot 5008	23-12-2022	636,19	47,87	770,1
Peugeot 5008	30-12-2022	602,15	44,97	699,3
Peugeot 5008	14-01-2023	681,44	49,06	786,6
Peugeot 5008	27-01-2023	703,25	50,63	842,9
Peugeot 5008	05-02-2023	626,39	47,49	779,5
Peugeot 5008	18-02-2023	646,56	50,16	867,90
Peugeot 5008	02-03-2023	639,99	49,65	830,7
Peugeot 5008	18-03-2023	640,07	51,66	872,9
Peugeot 5008	31-03-2023	605,48	49,67	
Peugeot 5008	12-04-2023	625,96	51,35	614,3
Peugeot 5008	25-04-2023	510,32	42,21	759,8
Peugeot 5008	11-05-2023	540,57	47,46	801,2
